date,foreign_net,call_net
2025-06-26,-303207.0,-196.0
2025-06-27,99995.0,-223.0
2025-06-30,436878.0,-73.0
2025-07-01,188557.0,123.0
2025-07-02,-243382.0,-97.0
2025-07-03,336950.0,24.0
2025-07-04,-378457.0,66.0
2025-07-07,452068.0,-144.0
2025-07-08,601869.0,164.0
2025-07-09,-208120.0,-81.0
2025-07-10,98812.0,175.0
2025-07-11,-109528.0,-293.0
2025-07-14,-96005.0,79.0
2025-07-15,-661152.0,-165.0
2025-07-16,-512127.0,-257.0
2025-07-17,-122486.0,-182.0
2025-07-18,224814.0,-136.0
2025-07-21,200787.0,-226.0
2025-07-22,-737307.0,-244.0
2025-07-23,335815.0,-126.0
2025-07-24,-291749.0,44.0
2025-07-25,516344.0,-85.0
2025-07-28,-51400.0,-199.0
2025-07-29,1084615.0,-271.0
2025-07-30,426881.0,60.0
2025-07-31,-765709.0,-86.0
2025-08-01,-431754.0,-43.0
2025-08-04,308766.0,78.0
2025-08-05,137953.0,53.0
2025-08-06,199248.0,47.0
2025-08-07,176038.0,-182.0
2025-08-08,79878.0,-76.0
2025-08-11,-229638.0,40.0
2025-08-12,417558.0,-256.0
2025-08-13,302456.0,108.0
2025-08-14,-459197.0,70.0
2025-08-18,-150500.0,-84.0
2025-08-19,90779.0,-120.0
2025-08-20,-55818.0,-173.0
2025-08-21,291390.0,111.0
2025-08-22,299485.0,118.0
2025-08-25,133549.0,92.0
2025-08-26,-285483.0,-203.0
2025-08-27,-209437.0,-238.0
2025-08-28,571978.0,84.0
2025-08-29,-378856.0,4.0
2025-09-01,-347253.0,173.0
2025-09-02,805859.0,5.0
2025-09-03,-126075.0,-154.0
2025-09-04,-546376.0,-172.0
2025-09-05,264873.0,103.0
2025-09-08,-459018.0,83.0
2025-09-09,411451.0,180.0
2025-09-10,330273.0,256.0
2025-09-11,245612.0,128.0
2025-09-12,32751.0,257.0
2025-09-15,-48186.0,291.0
2025-09-16,387530.0,-153.0
2025-09-17,-926876.0,231.0
2025-09-18,42085.0,-55.0
2025-09-19,-380773.0,-171.0
2025-09-22,220471.0,179.0
2025-09-23,53264.0,-6.0
2025-09-24,-357259.0,-79.0
2025-09-25,534540.0,110.0
2025-09-26,-354714.0,-228.0
2025-09-29,1077663.0,-110.0
2025-09-30,67903.0,-260.0
2025-10-01,252475.0,-328.0
2025-10-02,-426115.0,-110.0
2025-10-10,-1101209.0,-174.0
2025-10-13,-698115.0,95.0
2025-10-14,-412306.0,155.0
2025-10-15,709925.0,-84.0
2025-10-16,-89789.0,-293.0
2025-10-17,-138062.0,-114.0
2025-10-20,-269885.0,97.0
2025-10-21,-366028.0,-28.0
2025-10-22,-240314.0,-119.0
2025-10-23,60190.0,-433.0
2025-10-24,941729.0,-249.0
2025-10-27,-1338542.0,-473.0
2025-10-28,-1339095.0,79.0
2025-10-29,-112023.0,-373.0
2025-10-30,45874.0,148.0
2025-10-31,13193.0,-93.0
2025-11-03,-376994.0,-260.0
2025-11-04,-1684402.0,867.0
2025-11-05,-73583.0,-165.0
2025-11-06,552277.0,-45.0
2025-11-07,600.0,63.0
2025-11-10,677666.0,34.0
2025-11-11,-277749.0,-766.0
2025-11-12,390239.0,-133.0
2025-11-13,-182651.0,326.0
2025-11-14,-749508.0,-124.0
2025-11-17,-65449.0,77.0
2025-11-18,-462971.0,-116.0
2025-11-19,263477.0,344.0
2025-11-20,477093.0,-275.0
2025-11-21,114241.0,32.0
2025-11-24,1217813.0,-68.0
2025-11-25,-109145.0,-114.0
2025-11-26,266519.0,1241.0
2025-11-27,-278526.0,72.0
2025-11-28,-194430.0,-151.0
2025-12-01,730708.0,6.0
2025-12-02,525210.0,64.0
2025-12-03,737664.0,321.0
2025-12-04,-443442.0,243.0
2025-12-05,884359.0,163.0
2025-12-08,-337696.0,344.0
2025-12-09,-161430.0,-91.0
2025-12-10,-162311.0,-594.0
2025-12-11,293874.0,-172.0
2025-12-12,828725.0,-293.0
2025-12-15,-495676.0,77.0
2025-12-16,-361720.0,199.0
2025-12-17,87881.0,-284.0
2025-12-18,-208184.0,-426.0
2025-12-19,130757.0,236.0
2025-12-22,725144.0,-439.0
2025-12-23,372039.0,-259.0
2025-12-24,37249.0,169.0
2025-12-26,651367.0,-41.0
2025-12-29,689569.0,63.0
2025-12-30,368923.0,76.0
2026-01-02,-731667.0,1226.0
2026-01-05,-830143.0,11.0
2026-01-06,-698779.0,130.0
2026-01-07,-799895.0,-181.0
2026-01-08,882443.0,272.0
2026-01-09,240803.0,-224.0
2026-01-12,-218347.0,627.0
2026-01-13,222997.0,1113.0
2026-01-14,-34404.0,-476.0
2026-01-15,-326450.0,-242.0
2026-01-16,-611044.0,-695.0
2026-01-19,234198.0,551.0
2026-01-20,-55870.0,425.0
2026-01-21,413769.0,374.0
2026-01-22,-676424.0,492.0
2026-01-23,-159758.0,196.0
2026-01-26,-857249.0,-418.0
2026-01-27,365886.0,-794.0
2026-01-28,-1495836.0,290.0
2026-01-29,-1043934.0,-112.0
2026-01-30,-356105.0,-145.0
2026-02-02,-1357946.0,567.0
2026-02-03,-37012.0,462.0
2026-02-04,-109320.0,-91.0
2026-02-05,-1671234.0,-256.0
2026-02-06,-426583.0,-346.0
2026-02-09,1477507.0,389.0
2026-02-10,766774.0,-527.0
2026-02-11,262208.0,151.0
2026-02-12,1469528.0,-312.0
2026-02-13,123073.0,-278.0
2026-02-19,428713.0,47.0
2026-02-20,976966.0,-458.0
2026-02-23,-1458905.0,1702.0
2026-02-24,647062.0,325.0
2026-02-25,-852709.0,-703.0
2026-02-26,-307845.0,128.0
2026-02-27,-2012078.0,-167.0
2026-03-03,-322312.0,-215.0
2026-03-04,2045097.0,-725.0
2026-03-05,-3353722.0,-161.0
2026-03-06,-1355022.0,220.0
2026-03-09,-908362.0,-360.0
2026-03-10,-668730.0,-444.0
2026-03-11,-263233.0,-1242.0
2026-03-12,-1230760.0,-526.0
2026-03-13,-255753.0,-667.0
2026-03-16,-405177.0,-1821.0
2026-03-17,-16185.0,-31.0
2026-03-18,1708648.0,-148.0
2026-03-19,-1516462.0,711.0
2026-03-20,-286933.0,698.0
2026-03-23,-1724831.0,582.0
2026-03-24,421105.0,1035.0
2026-03-25,1405517.0,-1110.0
2026-03-26,332818.0,40.0
2026-03-27,-379041.0,101.0
2026-03-30,230876.0,-246.0
2026-03-31,115429.0,-37.0
2026-04-01,924352.0,-715.0
2026-04-02,9197.0,-68.0
2026-04-03,18993.0,-11.0
2026-04-06,1710.0,-1341.0
2026-04-07,12141.0,296.0
2026-04-08,1546122.0,-1709.0
2026-04-09,304960.0,-725.0
2026-04-10,203433.0,-1269.0
2026-04-13,-356981.0,-508.0
2026-04-14,1443031.0,-399.0
2026-04-15,560324.0,1610.0
2026-04-16,958250.0,364.0
2026-04-17,85936.0,59.0
2026-04-20,78969.0,71.0
2026-04-21,-210808.0,669.0
2026-04-22,-513943.0,1046.0
2026-04-23,224091.0,-370.0
2026-04-24,-19078.0,640.0
2026-04-27,380049.0,-585.0
2026-04-28,-413906.0,803.0
2026-04-29,-859028.0,574.0
2026-04-30,724248.0,-264.0
2026-05-04,562195.0,-156.0
2026-05-06,-1848354.0,1177.0
2026-05-07,-544271.0,653.0
2026-05-08,-870271.0,-839.0
2026-05-11,-1130971.0,495.0
2026-05-12,80457.0,3258.0
2026-05-13,-2233909.0,-1749.0
2026-05-14,-1018378.0,1816.0
2026-05-15,980514.0,-635.0
2026-05-18,-46730.0,-157.0
2026-05-19,526506.0,115.0
2026-05-20,-739127.0,893.0
2026-05-21,-1531857.0,337.0
2026-05-22,180854.0,-91.0
2026-05-26,174456.0,1177.0
2026-05-27,-138181.0,-1185.0
2026-05-28,-159345.0,1309.0
2026-05-29,1465995.0,1171.0
2026-06-01,-320257.0,2394.0
2026-06-02,-536465.0,2800.0
2026-06-04,580913.0,1136.0
2026-06-05,771862.0,2074.0
2026-06-08,1266042.0,-52.0
2026-06-09,-2526444.0,1034.0
2026-06-10,639018.0,-1302.0
2026-06-11,-310595.0,4989.0
2026-06-12,513685.0,-1139.0
2026-06-15,-210232.0,-110.0
2026-06-16,263391.0,2294.0
2026-06-17,-621246.0,1313.0
2026-06-18,-280606.0,2820.0
2026-06-19,1273474.0,343.0
2026-06-22,-171712.0,897.0
2026-06-23,1956020.0,-821.0
2026-06-24,-2302555.0,512.0
2026-06-25,-2779744.0,801.0
2026-06-26,821938.0,-667.0
